论文里的名字,﻿组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
红云红河集团（烟草）有限责任公司,8c77339d756240369f06f0b8f6e42a46,12530104,红云红河烟草（集团）有限责任公司,红云红河烟草（集团）有限责任公司,530100,530000
红云红河（烟草）集团技术中心,8c77339d756240369f06f0b8f6e42a46,12530104,红云红河烟草（集团）有限责任公司,红云红河烟草（集团）有限责任公司,530100,530000
红塔(烟草)集团有限责任公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔区烟草公司,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草 （集团）有限责任公司物资采购中心,8919c25734d34326a7bdcc3879502767,99000006,中烟烟机零配件采购服务中心有限责任公司,烟机零配件采购服务中心,110106,110000
红塔烟草( 集团)有限责任公司营销中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团),5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草(集团)公司,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草(集团)有限公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团)有限公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团)有限公司香精香料技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团)责任有限公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团）有限公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团）有限责任公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草(集团）有限责任公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草<集团>有限责任公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草〈集团〉有限责任公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草劳动服务有限责任公司,d3ea37ab7b994017a1bd5d2e276c028b,99130101,河北红塔卷烟销售有限责任公司,河北红塔卷烟销售有限责任公司,130100,130000
红塔烟草技术(集团)有限公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草有限责任公司,d3ea37ab7b994017a1bd5d2e276c028b,99130101,河北红塔卷烟销售有限责任公司,河北红塔卷烟销售有限责任公司,130100,130000
红塔烟草集团,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草集团技术中心,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草集团有限公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团有限公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团有限责任公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团有限责任公司原料部,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团有限责任公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团有限责任公司装备技术部,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草集团经济运行部,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草（集团）公司技术中心,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草（集团）技术中心,5ccadc222c034c3ba90959dceeff160d,12532301,云南红塔集团楚雄卷烟厂,楚雄卷烟厂,532300,530000
红塔烟草（集团）有限公司,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
红塔烟草（集团）有限公司技术中心,161880e3b2ec44ea9622eaeb00e0646e,12530401,红塔烟草(集团)有限责任公司,红塔集团,530400,530000
